ingredient_text,allergens
"INGREDIENTS: paprika extract, palm oil, carrageenan, dextrose, fructose, mono and diglycerides",none
"INGREDIENTS: surimi, whelk, pasteurized egg, mollusc powder, fish paste, meringue, dried egg, wheat bran, clam juice, bread crumbs, lobster, langoustine, calcium carbonate, tapioca starch, flour, baking powder","egg,fish,molluscs,shellfish,wheat"
"lactic acid, thiamine, carrageenan, lecithin (as preservative), dextrose, fructose (for color), niacin",none
"INGREDIENTS: canola oil, guar gum, ground nut oil, folate, baking powder, paprika extract, water, (may be present: sesame, wheat, fish), palm oil. CONTAINS fish, wheat, sesame, peanut","fish,peanut,sesame,wheat"
"mustard oil, lecithin, vitamin D, mustard powder, glucose, sugar",mustard
"riboflavin, maltodextrin (for color), almond flour, walnut oil, corn starch, lactic acid, rice flour, paprika extract (as preservative)",tree_nuts
"paprika extract, fish stock, natural flavors, fish oil, vitamin D, anchovy, tapioca starch, (processed in a facility that also processes egg, soy), tahini, sesame flour, maltodextrin","egg,fish,sesame,soy"
"preservatives, tapioca starch, beta carotene (for color), sunflower oil, sodium bicarbonate, peanut butter, peanut, thiamine, xanthan gum, dextrose",peanut
"riboflavin, sodium bicarbonate, palm oil, cashew butter, corn starch, sunflower oil, beta carotene, pecan",tree_nuts
"INGREDIENTS: lupini, mono and diglycerides, palm oil, salt, mollusc powder, yeast, cheese, egg wash, mollusc extract, lupine, maltodextrin, canola oil, pasteurized egg, artificial flavors, celeriac. CONTAINS molluscs, lupin, egg, dairy. MAY CONTAIN fish DUE TO SHARED EQUIPMENT","celery,dairy,egg,fish,lupin,molluscs"
"INGREDIENTS: maltodextrin (for texture), (manufactured on equipment that also processes celery), tapioca starch, beta carotene. CONTAINS celery",celery
"wine preservative (sulfites), potato starch, soy, sugar, vegetable oil, tempeh, maltodextrin, contains sulfites","soy,sulphites"
"annatto, sodium bicarbonate, yeast, wheat bran, lupini beans, palm oil, lupin seeds, fructose, natural colors (for texture), sugar, lupin concentrate","lupin,wheat"
"mono and diglycerides, mustard, tahini, mustard extract, til, modified starch, brazil nut, canola oil, pine nut, sesame seed, paprika extract, rice flour, pecan, turmeric","mustard,sesame,tree_nuts"
"white sesame, niacin, potassium chloride, glucose, sesame flour, rice flour, sodium bicarbonate",sesame
"citric acid, folate, preservatives, vitamin A, maltodextrin, milk solids, canola oil (as preservative)",dairy
"goober peas, glucose, tamari, peanut flour, beer nuts, maltodextrin (as stabilizer), calcium carbonate","peanut,soy"
"guar gum, anchovy, glucose, tapioca starch, fish paste, fish sauce, artificial flavors, palm oil, vitamin D, rice flour",fish
"sodium bicarbonate, langoustine, water, prawn, preservatives",shellfish
"INGREDIENTS: lecithin, riboflavin, corn syrup, folate, natural flavors, curd, mono and diglycerides, octopus. CONTAINS dairy","dairy,molluscs"
"lecithin, yellow mustard, natural colors (as stabilizer), paprika extract, sesame oil, gingelly oil, semolina, peanut flour, ground peanuts, preserved with sulfites, mustard powder, natural flavors, goober peas, magnesium carbonate","mustard,peanut,sesame,sulphites,wheat"
"artificial flavors, fish powder, vitamin D, fructose, celery seeds, celery salt, celery spice, sardine, vegetable oil","celery,fish"
"baking powder, calcium carbonate, xanthan gum, potato starch, sodium bicarbonate (as preservative), annatto",none
"mustard seed, riboflavin, natural colors, rice flour, pasteurized egg, cashew, tapioca starch, almond paste, sodium bisulfite, almond flour, meringue, albumin, preserved with sulfites","egg,mustard,sulphites,tree_nuts"
"meringue, lysozyme, carrageenan, canola oil, tapioca starch, riboflavin",egg
"INGREDIENTS: crab, invert sugar, shrimp, guar gum, egg protein, niacin, tapioca starch, salt. MAY CONTAIN wheat, fish, soy DUE TO SHARED EQUIPMENT","egg,fish,shellfish,soy,wheat"
"modified starch, mollusc extract, squid, mussel, canola oil, semolina, wheat gluten, palm oil","molluscs,wheat"
